suite,subject,opponents,seat,games,seed_start,wins,ties,losses,errors,win_rate,avg_reward,avg_margin,avg_score,avg_opp_best_score
2p,main,our_v3,0,3,7000,3,0,0,0,1.0,1.0,2114.6666666666665,2114.6666666666665,0.0
2p,main,our_v3,1,3,7000,3,0,0,0,1.0,1.0,2685.3333333333335,2685.3333333333335,0.0
2p,main,public_lb1039,0,3,7000,3,0,0,0,1.0,1.0,2114.6666666666665,2114.6666666666665,0.0
2p,main,public_lb1039,1,3,7000,3,0,0,0,1.0,1.0,2685.3333333333335,2685.3333333333335,0.0
2p,main,public_lb1224,0,3,7000,3,0,0,0,1.0,1.0,3765.3333333333335,3765.3333333333335,0.0
2p,main,public_lb1224,1,3,7000,3,0,0,0,1.0,1.0,3372.0,3372.0,0.0
2p,main,public_shuming,0,3,7000,3,0,0,0,1.0,1.0,1799.0,1799.0,0.0
2p,main,public_shuming,1,3,7000,2,0,1,0,0.6666666666666666,0.3333333333333333,256.0,1013.6666666666666,757.6666666666666
2p,main,public_ajay,0,3,7000,1,1,1,0,0.3333333333333333,0.3333333333333333,128.33333333333334,889.6666666666666,761.3333333333334
2p,main,public_ajay,1,3,7000,1,1,1,0,0.3333333333333333,0.3333333333333333,-130.33333333333334,759.3333333333334,889.6666666666666
