suite,subject,opponents,seat,games,seed_start,wins,ties,losses,errors,win_rate,avg_reward,avg_margin,avg_score,avg_opp_best_score
2p,main,our_v3,0,3,5000,3,0,0,0,1.0,1.0,3141.6666666666665,3141.6666666666665,0.0
2p,main,our_v3,1,3,5000,3,0,0,0,1.0,1.0,2886.6666666666665,2886.6666666666665,0.0
2p,main,public_lb1039,0,3,5000,3,0,0,0,1.0,1.0,3141.6666666666665,3141.6666666666665,0.0
2p,main,public_lb1039,1,3,5000,3,0,0,0,1.0,1.0,2886.6666666666665,2886.6666666666665,0.0
2p,main,public_lb1224,0,3,5000,3,0,0,0,1.0,1.0,5004.666666666667,5004.666666666667,0.0
2p,main,public_lb1224,1,3,5000,3,0,0,0,1.0,1.0,5442.333333333333,5442.333333333333,0.0
2p,main,public_shuming,0,3,5000,2,0,1,0,0.6666666666666666,0.3333333333333333,1457.0,2029.0,572.0
2p,main,public_shuming,1,3,5000,2,0,1,0,0.6666666666666666,0.3333333333333333,1197.3333333333333,1769.3333333333333,572.0
2p,main,public_ajay,0,3,5000,1,0,2,0,0.3333333333333333,-0.3333333333333333,-1190.3333333333333,757.6666666666666,1948.0
2p,main,public_ajay,1,3,5000,0,0,3,0,0.0,-1.0,-2728.0,0.0,2728.0
